id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,6.9,TAHUN,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5.82,TAHUN,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.17,TAHUN,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7.98,TAHUN,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,6.68,TAHUN,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.59,TAHUN,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6.96,TAHUN,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6.58,TAHUN,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,5.92,TAHUN,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.35,TAHUN,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.51,TAHUN,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4.93,TAHUN,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,5.84,TAHUN,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.01,TAHUN,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5.99,TAHUN,2010
