id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan,tahun
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,7.51,TAHUN,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.03,TAHUN,2010
18,32,JAWA BARAT,3271,KOTA BOGOR,9.25,TAHUN,2010
19,32,JAWA BARAT,3272,KOTA SUKABUMI,7.82,TAHUN,2010
20,32,JAWA BARAT,3273,KOTA BANDUNG,10.32,TAHUN,2010
21,32,JAWA BARAT,3274,KOTA CIREBON,9.09,TAHUN,2010
22,32,JAWA BARAT,3275,KOTA BEKASI,10.07,TAHUN,2010
23,32,JAWA BARAT,3276,KOTA DEPOK,10.06,TAHUN,2010
24,32,JAWA BARAT,3277,KOTA CIMAHI,10.33,TAHUN,2010
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.23,TAHUN,2010
26,32,JAWA BARAT,3279,KOTA BANJAR,7.45,TAHUN,2010
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,6.92,TAHUN,2011
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.07,TAHUN,2011
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.28,TAHUN,2011
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.14,TAHUN,2011
31,32,JAWA BARAT,3205,KABUPATEN GARUT,6.71,TAHUN,2011
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.64,TAHUN,2011
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.14,TAHUN,2011
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6.87,TAHUN,2011
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,5.97,TAHUN,2011
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.46,TAHUN,2011
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.51,TAHUN,2011
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4.93,TAHUN,2011
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.01,TAHUN,2011
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.04,TAHUN,2011
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6.23,TAHUN,2011
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,7.98,TAHUN,2011
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.33,TAHUN,2011
44,32,JAWA BARAT,3271,KOTA BOGOR,9.43,TAHUN,2011
45,32,JAWA BARAT,3272,KOTA SUKABUMI,8.16,TAHUN,2011
46,32,JAWA BARAT,3273,KOTA BANDUNG,10.33,TAHUN,2011
47,32,JAWA BARAT,3274,KOTA CIREBON,9.31,TAHUN,2011
48,32,JAWA BARAT,3275,KOTA BEKASI,10.43,TAHUN,2011
49,32,JAWA BARAT,3276,KOTA DEPOK,10.22,TAHUN,2011
50,32,JAWA BARAT,3277,KOTA CIMAHI,10.38,TAHUN,2011
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.28,TAHUN,2011
52,32,JAWA BARAT,3279,KOTA BANJAR,7.51,TAHUN,2011
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,7.27,TAHUN,2012
54,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.32,TAHUN,2012
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.39,TAHUN,2012
56,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.16,TAHUN,2012
57,32,JAWA BARAT,3205,KABUPATEN GARUT,6.75,TAHUN,2012
58,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.68,TAHUN,2012
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.17,TAHUN,2012
60,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6.93,TAHUN,2012
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,6.03,TAHUN,2012
62,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.59,TAHUN,2012
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.51,TAHUN,2012
64,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.09,TAHUN,2012
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.17,TAHUN,2012
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.07,TAHUN,2012
67,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6.52,TAHUN,2012
68,32,JAWA BARAT,3216,KABUPATEN BEKASI,8.25,TAHUN,2012
69,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.36,TAHUN,2012
70,32,JAWA BARAT,3271,KOTA BOGOR,9.6,TAHUN,2012
71,32,JAWA BARAT,3272,KOTA SUKABUMI,8.52,TAHUN,2012
72,32,JAWA BARAT,3273,KOTA BANDUNG,10.35,TAHUN,2012
73,32,JAWA BARAT,3274,KOTA CIREBON,9.32,TAHUN,2012
74,32,JAWA BARAT,3275,KOTA BEKASI,10.46,TAHUN,2012
75,32,JAWA BARAT,3276,KOTA DEPOK,10.32,TAHUN,2012
76,32,JAWA BARAT,3277,KOTA CIMAHI,10.44,TAHUN,2012
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.34,TAHUN,2012
78,32,JAWA BARAT,3279,KOTA BANJAR,7.58,TAHUN,2012
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,7.4,TAHUN,2013
80,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.32,TAHUN,2013
81,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.5,TAHUN,2013
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.18,TAHUN,2013
83,32,JAWA BARAT,3205,KABUPATEN GARUT,6.8,TAHUN,2013
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.69,TAHUN,2013
85,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.2,TAHUN,2013
86,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6.98,TAHUN,2013
87,32,JAWA BARAT,3209,KABUPATEN CIREBON,6.08,TAHUN,2013
88,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.72,TAHUN,2013
89,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.51,TAHUN,2013
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.29,TAHUN,2013
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.29,TAHUN,2013
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.11,TAHUN,2013
93,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6.73,TAHUN,2013
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,8.34,TAHUN,2013
95,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.39,TAHUN,2013
96,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.01,TAHUN,2013
97,32,JAWA BARAT,3271,KOTA BOGOR,9.96,TAHUN,2013
98,32,JAWA BARAT,3272,KOTA SUKABUMI,8.52,TAHUN,2013
99,32,JAWA BARAT,3273,KOTA BANDUNG,10.37,TAHUN,2013
100,32,JAWA BARAT,3274,KOTA CIREBON,9.33,TAHUN,2013
101,32,JAWA BARAT,3275,KOTA BEKASI,10.49,TAHUN,2013
102,32,JAWA BARAT,3276,KOTA DEPOK,10.43,TAHUN,2013
103,32,JAWA BARAT,3277,KOTA CIMAHI,10.66,TAHUN,2013
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.44,TAHUN,2013
105,32,JAWA BARAT,3279,KOTA BANJAR,7.66,TAHUN,2013
106,32,JAWA BARAT,3201,KABUPATEN BOGOR,7.74,TAHUN,2014
107,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.36,TAHUN,2014
108,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.52,TAHUN,2014
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.34,TAHUN,2014
110,32,JAWA BARAT,3205,KABUPATEN GARUT,6.83,TAHUN,2014
111,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.87,TAHUN,2014
112,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.44,TAHUN,2014
113,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.04,TAHUN,2014
114,32,JAWA BARAT,3209,KABUPATEN CIREBON,6.31,TAHUN,2014
115,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.75,TAHUN,2014
116,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.66,TAHUN,2014
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.45,TAHUN,2014
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.44,TAHUN,2014
119,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.17,TAHUN,2014
120,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6.78,TAHUN,2014
121,32,JAWA BARAT,3216,KABUPATEN BEKASI,8.38,TAHUN,2014
122,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.51,TAHUN,2014
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.05,TAHUN,2014
124,32,JAWA BARAT,3271,KOTA BOGOR,10.01,TAHUN,2014
125,32,JAWA BARAT,3272,KOTA SUKABUMI,8.7,TAHUN,2014
126,32,JAWA BARAT,3273,KOTA BANDUNG,10.51,TAHUN,2014
127,32,JAWA BARAT,3274,KOTA CIREBON,9.53,TAHUN,2014
128,32,JAWA BARAT,3275,KOTA BEKASI,10.55,TAHUN,2014
129,32,JAWA BARAT,3276,KOTA DEPOK,10.58,TAHUN,2014
130,32,JAWA BARAT,3277,KOTA CIMAHI,10.78,TAHUN,2014
131,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.51,TAHUN,2014
